age,annual_income,total_debt,credit_history_years,payment_history_score,late_payments,existing_loans,employment_years,credit_utilization,debt_to_income,creditworthy
44,75796.87,38653.66,8.27,100.0,2,5,0.0,0.075,0.51,1
42,91406.74,13395.78,12.59,77.43,3,3,15.78,0.351,0.147,0
35,71365.9,48441.69,8.05,78.5,1,3,15.84,0.71,0.679,0
21,57174.64,8296.31,1.52,100.0,2,0,2.38,0.412,0.145,0
55,72388.51,36085.58,13.23,90.57,1,0,3.36,0.456,0.498,1
36,18000.0,14535.62,12.95,100.0,1,4,5.38,0.03,0.808,0
50,73423.49,8115.31,18.22,85.23,0,1,13.12,0.508,0.111,1
39,18000.0,11359.22,14.7,76.84,1,0,0.56,0.439,0.631,0
37,27083.81,17143.27,5.79,74.05,1,4,0.0,0.287,0.633,0
60,74938.91,3919.98,23.58,57.99,5,3,17.84,0.456,0.052,1
25,75505.65,29543.03,4.72,78.38,2,0,8.56,0.454,0.391,1
54,39426.57,9202.1,14.96,96.88,1,2,9.27,0.208,0.233,0
54,49333.76,25186.48,12.51,89.78,2,2,5.97,0.486,0.511,0
38,95151.9,3234.39,7.65,82.26,2,0,9.33,0.659,0.034,1
32,54351.34,36381.15,5.41,69.07,1,3,0.0,0.374,0.669,0
21,114344.25,77613.19,1.42,84.95,2,2,2.8,0.246,0.679,0
63,64957.76,10297.38,18.58,95.17,2,5,7.53,0.384,0.159,1
63,73976.8,19204.64,17.35,87.6,4,0,0.0,0.591,0.26,1
31,100571.24,48837.94,7.47,84.17,3,5,5.49,0.175,0.486,0
22,67882.6,32120.1,1.11,71.64,2,0,5.18,0.536,0.473,0
26,42948.43,7315.18,3.36,93.27,4,4,5.49,0.284,0.17,1
24,62586.0,8235.6,3.57,41.29,3,4,4.24,0.468,0.132,0
58,64216.56,11713.18,13.52,86.98,3,2,2.02,0.307,0.182,1
61,34975.68,34663.78,15.5,100.0,1,1,0.0,0.307,0.991,0
27,59371.69,25803.74,3.15,62.39,0,0,7.72,0.725,0.435,0
54,48671.77,24819.64,9.02,78.86,3,2,5.5,0.138,0.51,0
29,85335.87,31919.74,5.36,81.9,1,4,0.12,0.517,0.374,0
37,65761.46,47030.16,5.12,75.99,1,4,7.31,0.766,0.715,0
47,58778.49,7437.74,11.21,95.47,1,1,5.53,0.557,0.127,1
53,62664.0,10831.15,26.16,88.14,1,0,4.69,0.154,0.173,1
60,69908.68,44402.74,29.79,83.98,3,3,0.0,0.164,0.635,0
23,78569.91,56364.32,1.79,92.36,2,3,10.41,0.27,0.717,0
29,43006.33,13726.32,4.46,82.22,3,5,0.83,0.452,0.319,0
33,42085.07,16695.61,7.23,100.0,1,4,7.32,0.465,0.397,0
34,89302.94,28720.15,10.76,83.97,3,3,2.96,0.166,0.322,1
65,55928.59,17363.38,30.61,84.54,0,3,5.06,0.245,0.31,1
55,33829.47,1000.0,11.59,59.76,2,3,12.76,0.258,0.03,1
35,74763.88,47647.1,5.31,74.94,2,2,9.66,0.384,0.637,0
64,75194.14,14470.7,21.08,96.92,3,4,12.65,0.817,0.192,1
43,31324.26,11932.79,17.13,64.64,0,1,8.65,0.233,0.381,0
43,70048.6,7623.4,17.28,53.95,1,4,8.98,0.225,0.109,1
40,81182.83,5981.57,6.68,82.42,1,5,0.0,0.193,0.074,0
27,73236.5,25879.61,4.83,99.82,6,2,5.41,0.547,0.353,0
63,78903.59,23747.42,14.75,82.55,7,2,5.88,0.412,0.301,0
21,34106.08,12712.29,1.78,77.63,3,2,13.12,0.241,0.373,0
28,72282.88,10799.88,7.08,57.84,1,4,4.47,0.347,0.149,0
31,58342.37,35299.47,6.21,87.88,1,1,8.32,0.262,0.605,1
33,54378.62,31361.19,4.37,90.6,2,2,8.13,0.479,0.577,1
26,84152.22,54409.68,4.32,58.84,3,3,12.79,0.957,0.647,0
21,97544.04,15711.03,1.36,96.75,7,4,6.33,0.53,0.161,0
51,104476.14,29261.72,21.63,91.95,2,1,11.14,0.401,0.28,1
64,93925.77,27638.38,19.33,96.72,3,0,0.0,0.287,0.294,1
26,62585.85,18981.51,5.5,89.59,2,3,0.0,0.151,0.303,0
34,72759.84,11372.03,6.19,90.5,2,3,0.0,0.567,0.156,1
43,81870.1,4648.76,8.22,88.77,4,4,10.93,0.556,0.057,0
62,67665.91,20814.24,17.74,93.29,3,0,10.37,0.327,0.308,1
52,67876.81,12447.2,9.09,58.36,0,0,11.48,0.663,0.183,1
55,83122.57,29737.33,14.45,62.49,3,2,3.61,0.424,0.358,0
47,63695.78,10570.53,16.82,72.43,2,3,4.18,0.575,0.166,1
39,48955.69,6597.64,6.74,80.31,3,0,6.39,0.479,0.135,1
29,55881.59,25928.16,3.36,87.05,4,1,14.22,0.385,0.464,1
59,78946.03,26526.84,12.96,86.22,6,2,15.47,0.229,0.336,0
57,65065.85,20608.58,11.26,96.52,3,1,10.97,0.391,0.317,1
22,72484.62,40106.09,2.75,96.93,3,4,8.66,0.588,0.553,0
53,79741.74,43727.19,25.27,70.66,1,0,13.68,0.318,0.548,1
24,56753.49,17521.74,1.64,85.1,2,5,5.72,0.508,0.309,1
54,81637.46,39787.01,22.68,70.98,2,1,5.05,0.203,0.487,1
58,73334.54,53148.83,24.74,79.55,2,2,6.35,0.576,0.725,0
26,37834.11,13212.67,5.99,86.18,3,5,2.11,0.483,0.349,0
40,96730.71,58694.0,9.33,37.69,1,3,6.12,0.18,0.607,0
26,53983.62,30136.73,3.14,100.0,1,5,1.41,0.375,0.558,0
46,28587.9,1000.0,13.34,89.36,3,0,12.13,0.606,0.035,1
62,42009.04,6085.64,29.84,74.26,0,4,9.72,0.168,0.145,1
24,42537.01,18941.52,3.69,100.0,1,0,14.15,0.206,0.445,1
38,66147.81,43760.12,9.72,77.48,2,3,0.0,0.406,0.662,0
64,58975.29,24790.71,17.12,83.72,1,1,16.51,0.847,0.42,1
34,57589.7,9625.38,9.82,75.67,3,4,0.0,0.285,0.167,0
26,78633.44,30347.18,5.42,100.0,2,0,1.01,0.519,0.386,0
42,72477.26,8743.82,10.8,80.64,1,5,3.9,0.472,0.121,0
43,71953.05,32158.33,14.61,83.94,3,2,13.54,0.302,0.447,1
50,74016.23,27532.55,14.4,97.65,1,3,8.13,0.452,0.372,0
35,78554.96,45703.04,8.32,89.61,2,3,5.78,0.33,0.582,0
64,18625.03,16390.26,23.57,81.29,3,0,3.04,0.348,0.88,0
44,56982.36,24371.14,16.58,96.44,4,1,0.12,0.088,0.428,1
33,18000.0,13876.01,11.08,100.0,3,4,12.66,0.415,0.771,0
64,65793.32,30463.18,21.72,86.13,5,5,10.99,0.6,0.463,0
62,64898.07,35278.36,18.53,83.52,1,5,13.76,0.431,0.544,0
43,88001.71,61483.15,10.92,84.22,1,3,8.98,0.638,0.699,1
22,91127.96,15235.87,1.27,99.04,2,1,0.0,0.536,0.167,0
47,69461.05,32983.71,11.56,74.21,1,2,0.78,0.408,0.475,0
45,53992.06,10671.67,7.92,78.38,3,2,9.32,0.294,0.198,1
27,75673.54,38381.55,4.18,62.01,2,2,5.15,0.323,0.507,0
49,53385.81,16787.72,10.34,66.61,4,2,4.21,0.126,0.314,0
58,64969.36,23006.63,16.93,75.27,3,5,1.48,0.367,0.354,1
25,86695.0,13959.82,4.53,81.27,2,2,11.74,0.449,0.161,1
53,52729.03,9620.75,13.05,100.0,1,0,9.28,0.763,0.182,1
27,82724.93,45217.88,5.0,88.97,4,4,9.51,0.526,0.547,0
54,79902.83,16001.03,25.22,70.14,4,3,3.83,0.247,0.2,1
39,43994.58,9803.81,11.2,72.54,0,2,7.88,0.132,0.223,1
21,86425.67,58728.23,1.04,99.87,4,3,0.31,0.379,0.68,0
64,80368.46,53153.28,19.43,96.65,2,5,6.35,0.582,0.661,0
28,67242.37,12806.37,5.45,82.37,0,5,0.0,0.376,0.19,0
47,48228.88,11703.27,14.6,76.25,3,4,0.0,0.528,0.243,0
29,46097.47,38993.42,3.57,96.62,4,3,5.39,0.384,0.846,0
62,53171.42,24124.99,20.83,69.09,4,0,18.88,0.563,0.454,1
54,76937.08,50799.34,18.78,87.1,1,3,0.0,0.101,0.66,0
57,43976.25,13544.94,14.96,100.0,0,4,0.78,0.741,0.308,1
40,74625.27,21261.02,12.24,84.67,3,5,8.08,0.198,0.285,1
42,37681.38,5552.06,6.84,71.92,2,4,15.85,0.579,0.147,0
49,60510.49,43267.76,12.97,87.33,5,5,8.01,0.366,0.715,0
56,67412.25,9370.53,24.78,75.89,1,3,10.51,0.397,0.139,1
59,118792.86,1000.0,15.57,63.88,4,0,5.31,0.372,0.03,1
21,34699.06,26471.26,1.66,91.11,3,2,4.45,0.471,0.763,0
50,97384.32,67848.53,14.56,96.53,1,1,7.41,0.512,0.697,1
25,68296.53,40117.18,2.86,77.96,2,5,3.71,0.632,0.587,0
33,74045.78,21752.1,10.62,77.1,1,4,10.62,0.702,0.294,1
58,67603.65,29012.1,16.87,69.5,3,2,0.0,0.486,0.429,0
32,74783.99,23313.54,5.16,80.05,4,2,11.45,0.763,0.312,0
56,61618.93,17584.73,26.78,74.69,4,0,7.2,0.439,0.285,1
41,96989.1,38849.38,14.33,68.86,1,0,5.93,0.635,0.401,1
31,54957.63,28959.47,7.68,100.0,1,1,0.0,0.506,0.527,0
36,89909.16,52053.3,4.95,88.06,1,1,2.1,0.31,0.579,0
44,50823.92,34725.95,8.21,89.44,3,1,12.99,0.456,0.683,0
55,63674.46,47853.29,21.06,93.48,3,5,5.96,0.521,0.752,1
48,41416.82,2486.53,10.64,92.02,1,4,8.39,0.414,0.06,1
62,75010.52,29479.27,15.96,76.63,5,3,2.6,0.503,0.393,0
60,96792.77,15438.78,26.86,85.54,3,1,6.85,0.593,0.16,1
54,63298.16,16660.23,14.15,78.5,3,5,0.14,0.415,0.263,0
48,60668.51,20134.78,8.57,87.7,3,3,7.5,0.03,0.332,1
34,40478.43,4277.92,4.29,86.44,2,3,8.85,0.756,0.106,1
39,59955.56,34876.43,9.9,77.03,1,2,8.6,0.36,0.582,0
26,29958.53,3999.03,4.47,64.72,1,3,2.48,0.255,0.133,1
37,44916.68,34669.41,13.0,83.9,2,5,5.29,0.195,0.772,0
62,69989.29,14800.58,13.44,79.34,3,4,9.69,0.353,0.211,1
40,94018.29,12715.05,7.66,57.43,3,2,5.94,0.307,0.135,1
26,126802.64,49444.44,4.12,88.6,0,4,5.56,0.273,0.39,1
50,52095.13,1301.69,13.83,94.55,2,5,16.52,0.284,0.03,1
64,96576.6,23771.92,22.6,100.0,1,1,2.25,0.526,0.246,1
60,70362.55,47368.03,29.91,76.91,1,5,12.4,0.826,0.673,1
33,61672.55,10965.75,7.84,75.0,5,3,1.23,0.584,0.178,0
41,74517.08,17921.12,10.52,67.58,0,1,10.27,0.645,0.24,0
44,66362.16,30474.84,19.36,84.71,1,5,10.54,0.345,0.459,1
32,67428.71,19813.8,3.96,84.63,4,4,4.45,0.441,0.294,0
33,56016.67,18985.64,10.74,71.45,0,2,0.91,0.505,0.339,0
31,34241.59,3836.27,6.51,79.73,1,1,0.0,0.288,0.112,1
65,31040.25,21973.31,23.59,56.28,4,5,3.92,0.335,0.708,0
54,79371.39,21987.57,25.6,94.04,2,4,9.63,0.591,0.277,1
58,58912.6,27424.33,20.15,71.98,1,0,1.61,0.638,0.466,1
57,51886.04,18166.69,18.3,81.55,2,3,7.48,0.433,0.35,1
64,65187.12,49983.22,17.77,63.45,1,0,0.0,0.181,0.767,1
25,82488.51,30146.22,4.06,74.43,2,1,5.83,0.361,0.365,1
60,68968.01,23131.3,22.46,78.37,4,3,1.26,0.132,0.335,1
23,50566.79,3459.66,1.79,81.85,1,1,6.61,0.435,0.068,1
42,91978.45,21042.51,14.51,88.24,0,3,4.49,0.471,0.229,1
47,99742.08,12566.46,16.59,100.0,0,2,1.05,0.366,0.126,1
37,75880.25,35910.78,8.52,91.53,4,3,3.71,0.468,0.473,1
27,86420.6,24800.76,2.27,94.51,2,4,2.33,0.503,0.287,0
29,92323.12,40701.55,5.21,100.0,2,0,0.43,0.471,0.441,1
58,89862.18,7555.68,10.12,89.41,3,4,12.41,0.18,0.084,1
35,78510.18,57018.44,4.89,81.52,2,1,5.2,0.369,0.726,0
34,78163.64,49715.81,7.44,95.12,1,0,0.0,0.502,0.636,1
62,76432.53,6084.87,12.8,95.95,2,2,3.88,0.736,0.08,0
27,40858.57,7169.12,3.49,90.43,3,1,11.57,0.366,0.175,1
62,80415.91,12063.12,25.42,63.09,3,1,3.19,0.53,0.15,0
62,35172.09,29325.57,17.79,71.06,1,2,14.49,0.596,0.834,1
47,47518.81,14554.63,21.72,78.43,1,5,2.72,0.381,0.306,1
28,93678.43,46043.76,7.08,92.14,3,3,9.52,0.65,0.492,0
28,83484.84,32748.24,5.43,81.72,3,4,12.18,0.66,0.392,0
33,97722.76,60632.45,11.0,96.78,1,0,9.25,0.696,0.62,0
46,59023.16,23598.13,19.15,99.1,5,0,0.13,0.512,0.4,0
27,39650.53,14692.25,3.69,97.59,1,2,2.29,0.892,0.371,0
41,59710.38,38265.02,14.37,97.67,4,4,12.85,0.297,0.641,0
26,67244.69,5652.47,2.55,68.52,5,5,2.98,0.845,0.084,0
45,66737.75,40734.33,15.99,88.27,0,0,11.88,0.574,0.61,1
21,89940.97,8962.4,1.49,74.1,4,2,4.85,0.688,0.1,0
52,57052.05,29132.25,8.79,60.56,4,2,7.71,0.356,0.511,0
23,72744.76,48561.6,1.94,78.26,2,4,0.07,0.589,0.668,0
29,43250.2,27319.34,8.0,99.22,2,1,3.96,0.705,0.632,0
28,74906.98,45071.08,4.08,87.99,0,2,2.62,0.203,0.602,1
58,65068.39,14089.73,13.63,100.0,6,5,8.13,0.387,0.217,1
23,48504.11,19610.47,1.72,84.3,2,2,7.47,0.03,0.404,1
40,59811.75,17121.05,10.77,100.0,3,4,9.31,0.384,0.286,1
47,60948.13,31904.78,19.47,84.31,2,3,4.55,0.257,0.523,1
44,59056.59,25240.37,16.35,82.29,2,3,2.35,0.376,0.427,1
51,103969.51,23037.28,15.46,65.37,2,1,7.91,0.98,0.222,0
57,62834.19,17385.57,13.82,96.44,0,5,1.85,0.764,0.277,0
38,59634.29,21693.88,5.46,75.47,7,1,12.39,0.132,0.364,0
58,18856.08,4855.0,19.25,73.59,3,5,6.43,0.531,0.257,0
35,45327.44,9262.47,11.18,98.66,2,5,5.37,0.58,0.204,0
65,59212.38,41837.58,28.9,97.06,2,3,9.31,0.352,0.707,1
43,49911.24,18349.22,11.36,96.72,1,5,6.62,0.456,0.368,0
54,95397.57,16257.45,19.7,77.29,2,4,0.0,0.475,0.17,0
60,61371.37,25907.56,19.66,81.34,1,4,1.69,0.151,0.422,0
56,93345.77,56927.43,20.5,81.22,2,0,12.29,0.214,0.61,1
59,66357.5,19730.08,20.86,92.17,3,0,7.42,0.454,0.297,1
45,65819.01,12013.4,15.94,100.0,3,0,0.0,0.44,0.183,1
22,63046.48,2010.24,2.02,86.79,4,0,8.76,0.278,0.032,1
43,65083.52,7639.13,18.01,100.0,2,5,4.2,0.261,0.117,1
29,102813.49,59699.02,5.1,93.66,0,1,2.63,0.402,0.581,0
61,18000.0,13401.44,11.09,78.95,2,0,1.28,0.597,0.745,1
31,20965.99,4991.06,4.79,92.77,2,5,12.0,0.405,0.238,0
31,53050.24,26795.42,6.5,100.0,3,1,0.0,0.745,0.505,0
32,65319.61,6753.47,7.28,100.0,3,4,2.81,0.281,0.103,1
49,80182.3,35682.77,16.31,97.43,2,5,7.6,0.459,0.445,1
46,75407.92,35752.22,17.0,82.33,1,3,14.89,0.349,0.474,1
63,56546.59,12443.3,17.43,79.18,3,5,9.77,0.538,0.22,1
39,87418.96,12881.11,12.23,89.49,2,5,2.77,0.264,0.147,1
33,87664.3,42830.63,9.03,100.0,3,0,14.65,0.805,0.489,0
23,69049.27,44745.83,2.28,87.64,0,0,0.22,0.082,0.648,1
21,86178.47,12147.9,1.35,87.91,3,2,8.33,0.763,0.141,0
37,70998.2,12406.57,6.45,82.67,1,3,9.44,0.438,0.175,1
62,52647.37,15005.36,20.11,77.74,1,4,2.59,0.53,0.285,0
44,80351.97,34314.93,16.73,79.89,1,1,10.49,0.687,0.427,1
61,67433.49,38060.93,30.29,83.76,2,1,4.43,0.592,0.564,0
25,65029.48,41075.8,3.83,100.0,4,1,10.48,0.274,0.632,0
25,97404.98,58573.66,2.8,78.88,5,1,0.0,0.54,0.601,0
58,18000.0,5467.42,23.65,82.68,4,5,8.67,0.793,0.304,0
25,33810.95,25448.92,4.34,70.75,2,2,4.94,0.243,0.753,1
23,38884.45,6999.95,2.08,91.32,3,5,12.75,0.844,0.18,0
39,57008.27,29348.6,13.93,99.77,5,0,6.78,0.497,0.515,1
62,59398.62,11265.18,12.62,100.0,2,0,13.25,0.333,0.19,1
52,31838.84,9827.18,8.68,84.64,2,4,9.54,0.241,0.309,1
25,43326.52,32190.88,2.18,89.47,3,1,6.36,0.375,0.743,0
58,46061.48,23519.3,13.12,80.0,2,0,10.94,0.03,0.511,1
58,119063.33,89202.48,27.58,88.86,3,3,10.97,0.337,0.749,1
57,104638.32,34437.45,18.04,86.08,0,0,9.36,0.367,0.329,1
61,55941.51,20597.33,16.66,82.76,2,0,0.0,0.205,0.368,1
31,57001.17,30313.78,6.04,83.79,4,2,2.09,0.57,0.532,0
65,39717.51,10213.46,21.03,87.87,1,3,13.92,0.376,0.257,1
35,23021.13,1161.14,6.81,78.18,3,3,0.72,0.293,0.05,0
57,62428.64,29021.39,12.44,78.85,2,3,11.41,0.355,0.465,1
47,43047.26,1000.0,16.76,100.0,1,0,10.53,0.491,0.03,1
56,63133.29,38397.62,12.1,100.0,2,1,3.37,0.435,0.608,0
49,29795.47,9241.81,19.77,66.34,1,2,0.0,0.28,0.31,0
49,48236.56,1000.0,10.88,65.63,2,1,4.16,0.445,0.03,1
48,68269.8,44621.6,18.47,69.56,3,3,17.39,0.41,0.654,0
56,73056.61,7346.42,24.81,80.66,2,1,2.68,0.192,0.101,1
54,74184.38,49402.09,11.26,93.65,3,3,3.03,0.362,0.666,0
27,35949.24,22108.1,2.64,89.69,2,5,2.01,0.536,0.615,0
58,83803.09,11121.6,28.99,84.24,1,3,13.07,0.534,0.133,1
45,47395.34,21191.28,13.0,88.88,2,2,5.79,0.374,0.447,1
35,78922.87,42429.73,9.61,73.0,1,2,3.87,0.555,0.538,0
44,64765.95,38140.47,6.8,78.83,2,3,14.07,0.224,0.589,0
64,34719.48,15583.92,17.91,81.74,1,4,9.9,0.23,0.449,1
59,58043.65,31239.79,20.61,61.41,2,1,2.4,0.37,0.538,1
58,73038.0,40527.5,27.72,66.9,2,0,0.88,0.72,0.555,1
41,78485.24,30023.26,8.87,67.42,3,4,12.79,0.453,0.383,1
56,61898.27,36893.68,24.23,91.93,1,3,7.08,0.365,0.596,1
38,98699.14,65099.83,11.62,85.19,3,0,0.0,0.729,0.66,1
51,87165.24,42659.33,10.15,89.94,3,3,0.0,0.363,0.489,0
49,59353.61,34823.87,12.3,58.08,4,0,1.42,0.867,0.587,0
32,81502.68,32642.65,5.17,62.71,0,3,0.8,0.318,0.401,1
32,107543.46,66223.04,6.6,90.62,2,4,0.0,0.218,0.616,0
23,108130.66,82737.75,2.84,45.88,1,0,1.5,0.387,0.765,0
27,37984.0,5801.7,4.2,97.92,4,4,2.4,0.37,0.153,0
40,44616.27,5510.37,8.19,58.3,3,0,4.69,0.258,0.124,0
42,97668.21,32273.88,14.35,92.96,1,1,15.46,0.94,0.33,1
28,41717.82,17841.45,5.42,70.45,1,4,5.67,0.484,0.428,0
39,35904.1,17090.66,10.7,95.64,3,2,6.16,0.513,0.476,1
48,54303.73,7368.5,15.82,100.0,0,5,9.55,0.328,0.136,1
31,74244.99,18035.38,4.69,52.45,2,5,5.81,0.304,0.243,0
36,62747.27,31968.65,10.62,91.04,1,5,9.0,0.625,0.509,1
37,50687.6,33570.47,8.43,58.49,1,0,8.4,0.085,0.662,1
43,50167.33,25984.3,10.79,87.55,2,1,7.61,0.191,0.518,1
37,49328.58,27027.17,6.17,79.31,2,1,20.83,0.371,0.548,1
54,45650.79,24328.55,19.74,83.69,0,3,11.56,0.69,0.533,1
35,115195.92,79644.43,9.37,70.15,0,2,1.59,0.345,0.691,0
40,71545.24,29748.08,9.24,92.15,2,4,8.85,0.503,0.416,0
38,84508.7,37038.32,13.6,63.17,2,1,3.04,0.426,0.438,0
29,54240.3,21729.92,7.4,98.14,0,1,9.23,0.679,0.401,1
51,60908.95,4624.93,10.05,76.68,1,3,0.12,0.103,0.076,1
31,49301.81,11644.12,7.77,63.77,1,3,1.46,0.567,0.236,0
34,18000.0,14281.85,7.15,100.0,4,4,8.72,0.38,0.793,0
56,34683.8,31934.1,28.49,81.12,3,1,11.99,0.605,0.921,1
63,25166.39,15461.52,16.31,100.0,1,3,9.51,0.256,0.614,1
51,18000.0,1000.0,12.88,97.88,2,5,11.27,0.425,0.056,1
62,38702.1,30444.4,20.73,71.62,3,3,8.87,0.399,0.787,1
59,94149.02,17183.17,15.76,80.9,2,5,7.86,0.22,0.183,1
42,64022.4,33240.89,14.3,83.57,2,2,4.48,0.164,0.519,0
55,93392.4,49888.59,18.15,100.0,4,0,11.07,0.304,0.534,1
35,74041.62,41440.86,6.13,87.69,4,4,12.12,0.446,0.56,0
41,82216.29,42985.79,11.57,84.29,1,2,6.68,0.269,0.523,1
45,45180.27,25056.4,18.75,79.4,1,0,6.42,0.354,0.555,1
64,76526.92,20783.83,29.73,81.34,1,0,14.96,0.043,0.272,1
59,81031.71,60356.57,20.48,98.96,1,1,6.9,0.346,0.745,1
43,52313.76,29454.09,9.86,82.05,2,1,7.38,0.625,0.563,1
50,77309.89,36023.46,10.88,76.87,4,4,9.42,0.561,0.466,1
30,77456.13,15599.22,8.27,74.66,0,3,6.51,0.403,0.201,1
57,52909.84,11851.81,23.6,74.8,4,1,2.9,0.469,0.224,0
45,40299.09,9981.69,14.47,63.77,3,0,8.89,0.254,0.248,0
44,38949.18,7015.63,17.93,72.25,1,0,6.81,0.745,0.18,1
55,66903.12,24057.09,11.5,100.0,3,5,16.21,0.834,0.36,1
49,72194.22,47495.43,18.33,79.31,3,2,10.94,0.453,0.658,0
24,47564.43,16300.16,2.15,91.16,4,0,4.02,0.938,0.343,1
33,65584.88,11743.4,4.65,49.78,3,4,10.65,0.284,0.179,0
28,77551.81,1000.0,4.83,89.39,1,5,8.54,0.17,0.03,1
54,78600.2,26852.42,15.97,79.9,1,0,13.55,0.278,0.342,1
22,99141.36,67525.89,2.88,75.74,2,5,4.38,0.376,0.681,0
30,93093.58,26128.68,4.94,84.35,0,4,7.94,0.882,0.281,1
47,42971.59,27126.66,19.07,75.55,8,1,6.5,0.364,0.631,0
52,102038.9,61109.23,21.23,54.39,5,4,7.29,0.248,0.599,0
43,53318.52,8443.46,14.6,93.99,6,2,2.57,0.24,0.158,0
59,87987.2,38749.46,29.12,85.16,1,3,9.88,0.648,0.44,1
62,66495.71,43550.7,19.97,77.92,1,0,9.09,0.619,0.655,1
26,55932.71,23801.88,3.56,69.44,2,1,13.43,0.323,0.426,0
63,25230.67,1841.93,14.87,62.89,2,4,6.95,0.045,0.073,0
48,61225.58,52742.64,11.64,84.91,2,4,4.94,0.194,0.861,1
49,30693.57,20752.24,21.39,100.0,1,0,10.95,0.764,0.676,1
25,86280.58,31219.11,3.41,84.64,6,1,3.03,0.558,0.362,1
48,98369.44,49080.56,12.62,64.02,1,3,12.42,0.433,0.499,1
53,47467.96,12563.04,12.53,84.93,2,5,12.41,0.794,0.265,1
47,71643.36,48312.27,14.28,81.31,3,4,13.29,0.812,0.674,0
24,49041.39,25521.5,3.65,93.23,1,4,8.88,0.413,0.52,0
44,51173.34,1000.0,10.23,89.89,2,2,4.57,0.416,0.03,1
63,82038.88,42689.33,28.3,43.18,1,0,7.55,0.304,0.52,0
53,64152.16,45033.83,19.77,89.09,2,4,8.9,0.363,0.702,1
27,103272.26,58649.65,5.79,68.95,2,4,4.2,0.123,0.568,0
64,54390.89,11955.53,17.27,63.52,1,2,13.67,0.122,0.22,1
64,86985.4,14278.12,26.01,79.55,3,3,9.9,0.075,0.164,1
28,67143.1,48740.52,3.27,87.34,4,1,2.54,0.637,0.726,0
57,82507.12,51515.09,16.84,60.67,1,2,16.41,0.108,0.624,1
39,55162.53,15537.49,12.86,91.16,0,1,7.49,0.81,0.282,1
47,63909.71,40254.59,16.41,91.92,2,2,1.53,0.274,0.63,1
41,62459.02,22896.84,7.91,82.61,3,0,2.85,0.767,0.367,1
56,46606.74,12788.01,25.81,70.72,1,3,14.44,0.347,0.274,1
65,79565.79,9261.14,13.0,69.27,1,1,16.12,0.107,0.116,1
56,79305.48,1949.86,20.81,95.34,1,4,12.05,0.677,0.03,1
62,78058.2,23735.04,32.64,62.35,3,3,13.6,0.7,0.304,0
63,98813.24,60845.23,23.21,95.84,2,5,13.08,0.239,0.616,0
25,96885.59,21571.62,4.55,79.85,2,1,9.78,0.354,0.223,0
32,56751.22,12101.62,7.67,80.75,3,1,8.65,0.239,0.213,1
53,73207.15,38921.75,22.45,59.79,2,1,9.7,0.396,0.532,1
47,51280.78,11569.98,16.76,80.09,3,3,10.68,0.442,0.226,0
23,65513.82,15026.46,2.98,89.98,1,0,3.29,0.35,0.229,1
25,51805.51,26613.76,2.55,64.63,2,4,10.66,0.056,0.514,0
44,100641.55,34080.37,16.14,88.48,3,4,14.29,0.304,0.339,1
48,73001.36,37387.08,11.07,83.16,2,4,5.97,0.561,0.512,1
28,60203.36,40288.39,7.4,73.63,4,0,5.43,0.378,0.669,0
28,91259.61,23785.86,3.64,93.11,2,2,9.38,0.355,0.261,0
26,18000.0,7874.58,2.95,53.37,1,3,3.75,0.234,0.437,0
46,20689.74,14126.63,19.02,86.51,3,2,0.42,0.298,0.683,0
21,82508.45,52084.56,1.11,100.0,2,2,12.74,0.702,0.631,0
46,66330.31,34640.09,12.05,100.0,2,4,4.75,0.192,0.522,0
42,70509.82,31986.63,14.58,87.07,4,5,7.09,0.564,0.454,0
41,35819.29,19391.99,7.58,78.08,0,1,3.95,0.429,0.541,0
51,64488.86,33550.72,10.87,73.73,2,1,13.38,0.469,0.52,1
44,109077.21,1000.0,12.82,78.06,3,1,11.27,0.274,0.03,1
53,83132.39,59958.35,13.01,89.07,3,2,5.8,0.35,0.721,1
55,68733.54,26109.29,13.61,71.51,3,3,1.1,0.419,0.38,0
62,55340.81,24367.98,11.2,91.85,1,4,5.27,0.316,0.44,1
56,56319.4,18374.14,16.54,100.0,0,1,9.85,0.486,0.326,1
44,18157.65,3504.87,10.64,81.2,5,1,7.94,0.511,0.193,0
43,70668.09,31382.28,6.64,64.52,3,0,7.55,0.855,0.444,0
31,83600.63,36696.87,7.29,64.52,1,0,8.06,0.476,0.439,0
47,30336.37,1133.54,16.34,92.1,2,0,10.79,0.038,0.037,0
27,50448.83,7714.19,2.57,81.22,1,1,6.79,0.653,0.153,0
62,39535.78,18758.34,17.97,93.4,5,4,9.25,0.379,0.474,1
59,43762.27,13112.66,28.14,75.06,2,4,2.07,0.822,0.3,1
26,66176.6,23747.28,4.33,92.8,0,5,19.77,0.714,0.359,1
56,19143.15,10519.76,17.33,79.94,0,3,5.58,0.319,0.55,1
26,78513.95,13828.11,3.86,72.48,1,2,8.02,0.564,0.176,0
53,81584.81,19168.87,12.39,76.79,2,5,9.83,0.301,0.235,1
24,59475.74,18019.96,3.94,66.44,3,0,4.95,0.421,0.303,1
42,18000.0,8429.57,16.97,100.0,6,3,7.04,0.555,0.468,0
50,43078.79,14968.36,22.57,80.75,6,4,6.98,0.643,0.347,0
53,92123.84,40868.02,12.67,90.38,0,3,2.43,0.599,0.444,0
